Composition
Al0.8Si0.2CrFeCoNCu0.2
Al0.9Si0.2CrFeCoNCu0.1
AlCrFeCoNi 
(FeCrNiCo)Al0.75Cu0.25
CoCrCuFeNiTi0.5
CoCrCuFeNiTi 
AlCrFeCoNiCuV
(FeCrNiCo)Al0.75Cu0.25 + 10 vol.% TiC 
CoFeNiCrAlSi0.6

Al0.5CoCrFe0.5NiTi0.5
Al0.5CoCrFeNiTi0.6
Al0.5CoCrFe1.5NiTi0.7
Al0.5CoCrFe2NiTi0.8
AlCrFeCoNiCuMn 
AlCrFeCoNiCuTi 
CrFeCoNiCuTi0.5 
Zr56·2Ti13.8Nb5Cu6·9Ni5.6Be12.5 
Ti40Zr25Ni3Cu12Be20 
Mg81Cu9·3Y4.7Zn5 
420 stainless steel
416 stainless steel 
18Ni(200) maraging steel 

Al18Mg2Si4.5Cu
Al18Mg2Si4.5Cu
Al18Mg2Si4.5Cu0.2(Sr–Sb)
Al18Mg2Si4.5Cu0.2(Sr–Sb)
Al18Mg2Si4.5Cu
Al18Mg2Si4.5Cu0.2(Sr–Sb)

Co2Mo0.5Ni2VW0.5
Co2Mo0.6Ni2VW0.6
Co2Mo0.8Ni2VW0.8
Co2MoNi2VW
Co2Mo1.5Ni2VW1.5
Co2Mo1.75Ni2VW1.75

Nb20Ni20Ti20Co20Zr20
Nb20Ni20Ti20Co20Zr20
Nb20Ni20Ti20Co20Zr20
Nb20Ni20Ti20Co20Zr20
Nb20Ni20Ti20Co20Zr20
Nb20Ni20Ti20Co20Zr20
Nb16.7Ni16.7Ti16.7Co16.7Zr16.7Hf16.7
Nb16.7Ni16.7Ti16.7Co16.7Zr16.7Hf16.7

W0.5Ni2Co2VMo0.5
W0.5Ni2Co2VCr0.5
W0.5Ni2Co2CrMo0.5

CrFeNiV0.5W0.25
CrFeNiV0.5W0.5
CrFeNiV0.5W0.75
CrFeNiV0.5W
CrFeNi2V0.5W0.25
CrFeNi2V0.5W0.5
CrFeNi2V0.5W0.75
CrFeNi2V0.5W

CrNbTiVZr
Al0.25CrNbTiVZr
Al0.5CrNbTiVZr
AlCrNbTiVZr
CrNbTiVZr
Al0.25CrNbTiVZr
Al0.5CrNbTiVZr
AlCrNbTiVZr
CrNbTiVZr
Al0.25CrNbTiVZr
Al0.5CrNbTiVZr
AlCrNbTiVZr
CrNbTiVZr
Al0.25CrNbTiVZr
Al0.5CrNbTiVZr
AlCrNbTiVZr

? (group 1)
? (group 2)

Al0.3CoCrFeNi
Al0.3CoCrFeNi
Al0.6CoCrFeNi
Al0.6CoCrFeNi
Al0.85CoCrFeNi
Al0.85CoCrFeNi

Al2.2Li0.1Zr
Al2.2Li0.1Zr
Al2.2Li0.1Zr
Al2.2Li1.2Cu0.1Zr
Al2.2Li1.2Cu0.1Zr
Al2.2Li1.2Cu0.1Zr
Al2.2Li1.2Cu0.1Zr
Al2.2Li1.2Cu0.1Zr
Al2.2Li1.2Cu0.1Zr

FeNiCrCo0.3Al0.7
Al0.3CoCrFeNi
Al0.6CoCrFeNi
Al0.85CoCrFeNi
Al0.3CoCrFeNi
Al0.6CoCrFeNi
Al0.85CoCrFeNi
AlCoCrFeNi
AlCoCrFeNiTi0.5
AlCoCrFeNiTi
AlCoCrFeNiTi1.5
AlCoCrFeNi
AlCoCrFeNiV0.2
AlCoCrFeNiV0.5
AlCoCrFeNiV0.8
AlCoCrFeNiV
AlCrFeNi
AlCrFeNiMo0.2
AlCrFeNiMo0.5
AlCrFeNiMo0.8

Ni43Mn46Sn11
Ni43Mn46Sn11C2
Ni43Mn46Sn11C4
Ni43Mn46Sn11C8

AlNbTiV
AlNbTiV
AlNbTiV
AlNbTiV
AlCr0.5NbTiV
AlCr0.5NbTiV
AlCr0.5NbTiV
AlCr0.5NbTiV
AlCrNbTiV
AlCrNbTiV
AlCrNbTiV
AlCrNbTiV
AlCr1.5NbTiV
AlCr1.5NbTiV
AlCr1.5NbTiV
AlCr1.5NbTiV

AlCuNiFeTi
AlCuNiFeCr

Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi
Al0.3CoCrFeNi
Al0.5CoCrFeNi
Al0.7CoCrFeNi
Al0.9CoCrFeNi
Al1.5CoCrFeNi

NiCoFeCrAl
NiCoFeCrGa
NiCoFeCrGe
NiCoFeCrSn
NiCoFeCr

Al0.5NbTiVZr
AlNbTiVZr
Al1.5NbTiVZr
NbTiVZr
Al0.5NbTiVZr
AlNbTiVZr
Al1.5NbTiVZr
NbTiVZr

TiZrHfNiCu
TiZrHfNiCuCo
TiZrHfNiCuNb

CrFeNiCuCo
CrFeNiCuCoAl0.5
CrFeNiCuCoAl
CrFeNiCuCoAl2
CrFeNiCuCoAl3

AlCoCrFeNi
AlCoCrFeNiTi0.2
AlCoCrFeNiTi0.2
AlCoCrFeNiTi0.4
AlCoCrFeNiTi0.4
AlCoCrFeNiTi0.4

CoFeNiV
CoFeNiVMo0.2
CoFeNiVMo0.4
CoFeNiVMo0.6
CoFeNiVMo0.8
CoFeNiVMo
CoFeNi1.2VMo
CoFeNi1.4VMo
CoFeNi1.6VMo
CoFeNi1.8VMo
CoFeNi2VMo

Al0.7FeCoCrNi1.3
Al0.7FeCoCrNi1.3
Al0.7FeCoCrNi1.3
Al0.7FeCoCrNi1.3
Al0.7FeCoCrNi1.3
Al0.7FeCoCrNi1.3
Al1.7FeCoCrNi0.3
Al1.7FeCoCrNi0.3
Al1.7FeCoCrNi0.3
Al1.7FeCoCrNi0.3
AlFeCoCrNi
AlFeCoCrNi
AlFeCoCrNi
AlFeCoCrNi
Al0.3FeCoCrNi1.7
Al0.3FeCoCrNi1.7
Al0.3FeCoCrNi1.7
Al0.3FeCoCrNi1.7
Al1.7FeCoCrNi0.4
Al1.7FeCoCrNi0.4
AlFeCoCrNi
AlFeCoCrNi
Al0.3FeCoCrNi1.7
Al0.3FeCoCrNi1.7
SS316-Inconel 625-Ti64(75%Fe)
SS316-Inconel 625-Ti64(75%Fe)
SS316-Inconel 625-Ti64(75%Fe)
SS316-Inconel 625-Ti64(75%Fe)
SS316-Inconel 625-Ti64(50%Fe)
SS316-Inconel 625-Ti64(50%Fe)
SS316-Inconel 625-Ti64(50%Fe)
SS316-Inconel 625-Ti64(50%Fe)
SS316-Inconel 625-Ti64(25%Fe)
SS316-Inconel 625-Ti64(25%Fe)
SS316-Inconel 625-Ti64(25%Fe)
SS316-Inconel 625-Ti64(25%Fe)
SS316-Inconel 625-Ti64(75%Ni)
SS316-Inconel 625-Ti64(75%Ni)
SS316-Inconel 625-Ti64(75%Ni)
SS316-Inconel 625-Ti64(75%Ni)
SS316-Inconel 625-Ti64(50%Ni)
SS316-Inconel 625-Ti64(50%Ni)
SS316-Inconel 625-Ti64(50%Ni)
SS316-Inconel 625-Ti64(50%Ni)
SS316-Inconel 625-Ti64(25%Ni)
SS316-Inconel 625-Ti64(25%Ni)
SS316-Inconel 625-Ti64(25%Ni)
SS316-Inconel 625-Ti64(25%Ni)
